region_code,category_id,video_id,title,published_at,view_count,like_count,comment_count,channel_title
US,1,QAIcH5iySqw,A world where rankings decide everythingfearful_face,2024-06-11,23034872,1447852,4519,Series House
US,1,JnGgEPj4euE,He created the fastest motorcyclesmiling_face_with_sunglasses,2024-06-10,12445826,725876,2088,Pro Movie
US,1,G2vvoXefD1E,The Big Bang Theory | Sheldon: Aww Now I'm Sad I Didn't Hear It.,2024-06-09,18971802,1519038,1146,Sitcom Hub
US,1,RwYQYooEsXw,The mafia boss's son angered John Wick...cold_face,2024-06-12,8827703,675920,2244,Cartoon Home
US,1,__6ZM6iyaNA,Nelson befriends blind kid,2024-06-16,3767902,472540,382,Simpsons wow
US,1,Dv6mHmYelxQ,The first who moves is...,2024-06-10,8485539,773834,1354,Its BSD
US,1,qtdrQeuRk3Y,SAVING GOKU FROM BROLY CHALLENGE skull,2024-06-12,10579103,428803,875,Inferno Jae
US,1,nOOWuYVD2ug,When Your Chore List Gives You A HUGE MOM PART 8,2024-06-12,7529682,180072,528,Amyy Woahh
US,1,BKhY5aK_bxA,Airplane Continentalairplane - Key & Peele Short Edit,2024-06-10,11606925,689649,1206,Eyeful of Intrigue
US,1,58yLWPLNyE8,Is That Rice?,2024-06-12,6118873,0,1731,Kai Cenat Live
US,1,sftKehDFbu0,Bart's childhood,2024-06-16,2666170,243464,469,Simpsons Factory
US,1,gjbrcTq0dpE,Transformers: Age of Extinction,2024-06-13,0,20699,1347,YouTube Movies
US,1,FarSC_k3O0E,Dont Make A Sound face_screaming_in_fear (Animation Meme),2024-06-15,2225435,162080,1116,Nutshell Animations
US,1,lO2tdz84XhI,or just never tell them!,2024-06-12,3165457,378862,683,American High
US,1,3OsrIQ7ljW8,Hughie outsmarts A-Train | The Boys,2024-06-10,6129776,550039,1172,GoodzillaTheRealOne
US,1,VENAdNZMKTo,How To Deal With a Bully (Ai Edition) enraged_face,2024-06-12,4538208,116675,618,ReallyNotAi
US,1,tQOQMcR3dBQ,"Kai Cenat, Ray, and Druski Were Shocked That Kevin Hart Could Speak Taiwanese! face_with_tears_of_joy",2024-06-11,4441084,277640,462,Succesful Celebrity
US,1,Ec1A5ZHPlpI,Never trust a Gemini,2024-06-12,5448607,474194,3241,The Land Of Boggs
US,1,SyCHH87KMtc,NGL I’m a dog person dog_face do you prefer dogs or cats? backhand_index_pointing_down,2024-06-11,8802884,308529,2877,avneesha_delulu
US,1,PxRBDX5rKGo,bro said English or Spanishface_with_tears_of_joyskull,2024-06-17,1041703,73287,1369,MoneyBagBunda
US,1,ezrnD7H-Ljw,This Will Be On The Front of Every Newspaper In United_States cold_face - Sicario (2015),2024-06-08,9382523,662894,2644,Highlights of Film
US,1,am9Oubg0KPU,You NEED THIS item in Case of Emergency,2024-06-14,4467365,190831,1346,Chuchington
US,1,S1LKQVmtC7A,"Fanum Crashes into Kai Cenat, Kevin Hart, and Druski's Sleepoverface_with_tears_of_joy",2024-06-12,3489024,245134,454,Fanum Live
US,1,tkRl8ioQpWo,Dating with Asian parents,2024-06-01,16967424,0,2876,Just Rice
US,1,3GUZxsWadng,D&D Animated: Strange Cravings... bone,2024-06-14,1631723,234083,902,Legends of Avantris
US,1,7T4FewDPpPo,"When the Manager's Had Enough, BONUS: How Aaron & Clint Got Terry to Come Back",2024-06-15,1132045,177008,1353,Drew Talbert
US,1,hJ5EruGqQ0U,Wicked Boss Kitten Fires All Her Dog Employees,2024-06-10,10164740,199390,791,Super Emotional Stories
US,1,qNUG02sW3MU,"Dr. Phil Might Be a Redneck!!!face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy| Dr. Phil Live, ft. Harland Williams",2024-06-16,617641,27430,179,LifeofLogos
US,1,CEEM5dCxz7M,Joy snapped ￼,2024-06-06,6327480,475296,14310,Brickheadbored
US,1,gAY31ibu9UQ,Me vs the Kidnapper,2024-06-11,4400309,420076,2812,The Mannii Show
US,1,MuV-jY3JTso,This is how a genius makes a movie face_screaming_in_fear,2024-06-11,4285966,203554,213,Movie Prince
US,1,iCSib-2MCgY,Bro Asks His Nom An Embarrassing Question!Sound:​⁠ @lukedavidson81,2024-06-12,1758947,64969,468,Wings of Humor
US,1,3d4rDheZH2o,That one sibling that has the best comebacks…face_with_tears_of_joysmiling_face_with_sunglassesskull,2024-06-14,2781236,161159,1508,marrkadams
US,1,ig_zgxqcgUI,"Cheating isn’t an accident, it’s a choice…enraged_face",2024-06-10,4862120,330027,1507,Dax
US,1,9GrH3LCp0NY,professional business cards at work,2024-06-10,4709112,335608,1471,Viva La Dirt League
US,1,OaiiUsBUoMk,When you witness something as a kid face_with_tears_of_joy.     @DJHuntsofficial,2024-06-07,14384568,0,4672,Speed McQueen
US,1,5zEijJz8plg,That's Danger-close For Artillery. - Generation Kill (2008),2024-06-11,2338633,94844,1367,Movie Insight
US,1,4QrW2tAIg2Y,A recovery House himself couldn't believe...face_with_crossed-out_eyes,2024-06-11,3311694,435508,506,Movies Mansion
US,1,BlPB_l1l6Y8,sparklesFATHER’S DAYsparkles,2024-06-15,1166920,75366,302,Akana
US,1,u3TFrZXXy1w,Dora Made A Mistake pile_of_poo,2024-06-12,3869069,73199,1114,Dude
US,1,U-bllYZtZQg,★ Ragatha VS Miku (Original VS Remake) Amazing Digital Circus,2024-06-11,9842343,401761,8621,warningTOXIС GIRLwarning
US,1,MzyhmZLcyxA,Can you turn the “10” into a “5” by moving 1 pencilpencilthinking_facerolling_on_the_floor_laughingrolling_on_the_floor_laughing,2024-06-08,4435248,261970,562,TB FunnyASF
US,1,qq65dOYwaME,Bully gets taught a lesson!,2024-06-08,6891423,711389,2443,Insomnia Effect
US,1,AnY2Kkq6KSw,SML Movie: The Father's Day Heist!,2024-06-17,1650422,63119,8460,SML
US,1,wo26vR1WDYs,Why it’d be great to have Steve Harvey as your dad.,2024-06-16,1018114,88843,216,Family Feud
US,1,tY3J8GKFCJc,movie_camera I do my own stunts.,2024-06-11,4992313,416016,4170,EminemMusic
US,1,baCbHY7FG4U,Training for Next Black Friday,2024-06-10,5625111,245006,400,Amp World
US,1,IBMowbf5TzA,Things we all do that we don’t even realize!,2024-06-14,1637277,150204,2169,Nick Wilkins
US,1,qC75j3NJjlo,How To Politely Tell Someone They're Stupid. PART 2,2024-06-14,2919789,282490,1138,Ryan HD
US,1,8GtnVetEah4,The perfect video doesnt exi...,2024-06-09,4895138,249753,1203,mmmjoemele
US,1,cBFWCvi4WV0,Mr. Krabs’s Regret,2024-06-14,3923947,52466,307,Tom Aries
US,1,NbCwRS85Z9Y,Have you seen this one yet?,2024-06-12,2820569,212384,1247,Ray William Johnson
US,1,z-6Q7MbjbnI,Ever worry you might be a creation? Rick and Morty S05E02,2024-06-15,1055642,108295,113,Film_Odyssey
US,1,3KMgZoXP5Ao,The Make Up Revenge!!!,2024-06-10,2823626,37607,43,Mark Ryan
US,1,YHYdPOBgs2s,Schlatt’s Worldview Has Been SHATTERED,2024-06-13,1116740,98130,495,Big guy
US,1,-25J5paHtyk,CHEERLEADER Falls In Love With NERD | Dhar Mann Studios,2024-06-15,3688064,57946,4923,Dhar Mann Studios
US,1,C75qNJblyq4,Word Game Father | Another Word for Daddy = Lifer,2024-06-08,3714820,210001,748,RedGreenTV
US,1,4s-DfFrSGCA,BROMIEMOS,2024-06-11,17229653,630429,1493,Alfredo Larin
US,1,uTFLmxMqL1o,Toddler Tries To Shut Daddy Out,2024-06-02,14894710,758652,1814,The Churco Family
US,1,jkWMEL9VtlM,That Feeling When In A Salon They Do Smthng You Didn't Ask Forflushed_facewoman_getting_haircutwoozy_face,2024-06-09,16743166,230628,157,Giggle Jiggle
US,1,5iAb6gcgyIM,Bart Simpson hates himself edit,2024-05-19,5220786,279287,0,RyPlayz
US,1,n3Stz9wegm0,94 - bob dad's secretarywoman_office_workerwoman_office_workerscrollfountain_penmelting_face  |,2024-06-08,21753068,2027358,5464,dsand
US,1,_r53PoMVZTQ,THIS ANIMATION IS SO DOPE OMG,2024-06-10,3157547,443542,1333,bbno$
US,1,H4W5wKggcW8,I think Luke and Phil share the same brain,2024-06-12,2767355,176195,134,Peacock
US,1,XlUq5hdCYkw,I’m Free || How I Met Your Mother,2024-06-14,1865769,122742,138,Binge Ma'ampage
US,1,B_5MNqII91s,California Right-Wing Store Triggers Liberals,2024-06-11,1125677,57800,3265,Bald Brad
US,1,oZlRJAxdnOc,Homer's new businessastonished_facethinking_face,2024-06-12,1370303,132765,119,SimpsonsHome
US,1,rVXNZEHy0dY,The new guy,2024-06-12,5730823,144416,458,MrAdam Construction
US,1,9kJfgKJ2w1Q,The Fly Can See in Flashtime skullrolling_on_the_floor_laughing | @SimplyTashaOfficial,2024-06-11,2244283,112057,663,YXZ_20
US,1,PdqW2VenFzs,AIRLINES CHARGING FOR THIS SHOULD BE ILLEGAL face_with_steam_from_nose,2024-06-13,2172922,196897,400,Jeenie.Weenie
US,1,-4_OpDhy-yA,They be like fever dreams that never end,2024-06-14,1594056,210021,830,Haley Kalil
US,1,VFyfNzTpeAo,Marlon Wayans Reveals His Mom Saved Him from Mike Tyson!,2024-06-04,3659135,233779,1114,The Comedy Compound
US,1,5zlLDQ_HpSQ,Eli gets mad a guy gave Ida food flushed_face,2024-06-04,5614239,407913,2949,Mikeadelabu
US,1,Jikp59fjPzo,Kai Cenat & Kevin Hart Argue About Friends Ft Druski face_with_tears_of_joyloudly_crying_face,2024-06-11,1662306,145969,491,DaPlug
US,1,wHv8ZXe1uNQ,Family Dramas | 48 Hours Full Episodes,2024-06-15,655081,8598,1152,48 Hours
US,1,GI3PH9uxd84,Behind The Scenes of Bad Boys (@WillSmith ),2024-06-04,13816209,741467,2021,Dying Voice Dude
US,1,DBykVXEL714,Manager be like.... when they don't want to hireclown_face,2024-06-15,494682,31118,1056,Damelio Animation
US,1,X1YtfkLWnWY,a teenager speeds out of control on the freeway,2024-06-05,7691644,856171,2143,Movie Machine
US,1,w1r8LRyK84Q,Funny Fails | Try Not To Laugh pt.10,2024-05-19,18302145,819219,678,Fail House
